country,region,habitatcode,habitatname,priority,range_surface_area,range_trend,complementary_favourable_range,complementary_favourable_range_q,coverage_surface_area,coverage_surface_area_min,coverage_surface_area_max,coverage_trend,complementary_favourable_area,complementary_favourable_area_q,method_range,conclusion_range,method_area,conclusion_area,method_structure,conclusion_structure,method_future,conclusion_future,method_assessment,conclusion_assessment,conclusion_assessment_trend,conclusion_assessment_prev,conclusion_assessment_trend_prev,conclusion_assessment_change,conclusion_assessment_trend_change,target1,future_range,future_area,future_structure,backcasted_2007,hab_condition_trend,hab_condition_good_best,hab_condition_good_min,hab_condition_good_max,hab_condition_notgood_best,hab_condition_notgood_min,hab_condition_notgood_max,hab_condition_unknown_best,hab_condition_unknown_min,hab_condition_unknown_max,use_for_statistics
EU28,CON,1620,Boreal Baltic islets and small islands,N,4100,S,4100,aeq,90,90,90,S,90,aeq,0MS,FV,0MS,FV,0MS,U1,0MS,U1,MTX,U1,D,U1,D,nc,nc,C,good,good,poor,U1,D,0,0,0,0,0,0,45,0,90,Yes
EU28,BOR,1620,Boreal Baltic islets and small islands,N,109900,S,109900,aeq,3127,3127,3127,S,3127,lt,0EQ,FV,0EQ,FV,2XA,U1,2XA,U1,MTX,U1,D,U1,D,nc,nc,C,good,good,poor,U1,D,440,440,440,141,141,141,1696,846,2546,Yes
EU28,MED,2220,Dunes with Euphorbia terracina,N,109.71,S,109.71,aeq,9.85,9.85,9.85,S,9.85,aeq,2XA,FV,1,FV,1,FV,2XA,FV,MTX,FV,S,U2,S,nong,nc,A=,,,,FV,S,8.88,8.88,8.88,0.01,0.01,0.01,0.96,0.96,0.96,Yes
EU28,MED,3240,Alpine rivers and their ligneous vegetation with Salix elaeagnos,N,76642,Unk,76642,aeq,71.25,61.14,81.36,D,71.25,mt,1,XX,1,XX,2XA,XX,2XA,U2,MTX,U2,D,U1,S,nong,nong,C,poor,bad,bad,U1,Unk,6.4,6.4,6.4,2.96,2.96,2.96,22.65,22.65,22.65,Yes
EU28,ALP,3240,Alpine rivers and their ligneous vegetation with Salix elaeagnos,N,125120.48,I,125120.48,aeq,226.62,206.48,246.75,D,226.42,mt,1,FV,2GD,U1,2GD,XX,2GD,XX,MTX,U1,D,U1,D,nc,nc,C,good,poor,unknown,U1,Unk,64.5,17,112,48.85,2.57,95.12,194.8,176.18,213.4,Yes
EU28,ATL,3240,Alpine rivers and their ligneous vegetation with Salix elaeagnos,N,14000,S,,x,6.37,6.37,6.37,S,6.37,aeq,0MS,XX,0MS,FV,0MS,U2,0MS,XX,MTX,U2,S,U1,S,nong,nc,D,unknown,unknown,unknown,U1,S,1.82,1.82,1.82,4.02,4.02,4.02,0.54,0.54,0.54,Yes
EU28,CON,3240,Alpine rivers and their ligneous vegetation with Salix elaeagnos,N,73100,Unk,73100,mt,75.18,72.76,77.59,I,,mt,2GD,XX,2GD,U1,2GD,U1,2GD,U1,MTX,U1,D,U1,D,nc,nc,C,unknown,poor,poor,U1,D,26.12,21.09,31.35,3.4,3.33,3.46,11.79,7.44,16.14,Yes
EU28,CON,3250,Constantly flowing Mediterranean rivers with Glaucium flavum,N,2800,D,,mmt,3.42,3.15,3.68,D,3.42,mt,0MS,U2,0MS,U1,0MS,U1,0MS,U2,MTX,U2,Unk,XX,Unk,nong,nc,D,bad,poor,poor,XX,S,0.08,0.08,0.08,0.02,0.02,0.02,0,0,0,Yes
EU28,MED,3250,Constantly flowing Mediterranean rivers with Glaucium flavum,N,187406,D,187406,mmt,238.18,169.62,306.73,D,238.18,mmt,1,XX,1,U2,2XA,U2,2XA,U2,MTX,U2,D,U1,D,nong,nc,C,bad,bad,bad,U1,D,35.95,35.95,35.95,51.94,51.94,51.94,88.8,77.85,99.9,Yes
EU28,ALP,3250,Constantly flowing Mediterranean rivers with Glaucium flavum,N,3000,S,3000,,8,8,8,S,,x,0MS,FV,0MS,XX,0MS,XX,0MS,XX,MTX,XX,S,XX,Unk,nc,nong,D,good,poor,poor,XX,Unk,,,,,,,,,,Yes
EU28,ATL,5120,Mountain Cytisus purgans formations,N,7000,S,7000,x,451.54,,,S,451.54,aeq,0MS,XX,0MS,FV,0MS,U2,0MS,FV,MTX,U2,S,FV,S,nong,nc,D,,,,FV,S,327.43,327.43,327.43,123.54,123.54,123.54,0.58,0.58,0.58,Yes
EU28,MED,5120,Mountain Cytisus purgans formations,N,41000,S,41000,aeq,1405.34,1397.34,1413.34,S,1405.34,aeq,1,XX,0EQ,FV,1,U1,2XA,U1,MTX,U1,S,FV,S,nong,nc,D,,,,FV,Unk,859.72,851.72,867.72,324.74,324.74,324.74,174.87,174.87,174.87,Yes
EU28,CON,5120,Mountain Cytisus purgans formations,N,14800,S,14800,aeq,41,37,45,S,41,aeq,0MS,FV,0MS,FV,0MS,FV,0MS,FV,MTX,FV,S,FV,S,nc,nc,A=,,,,FV,Unk,,,,,,,41,37,45,Yes
EU28,ALP,5120,Mountain Cytisus purgans formations,N,12300,S,12300,aeq,776,776,776,I,776,aeq,0EQ,FV,0EQ,FV,2XA,XX,0EQ,FV,MTX,FV,I,U1,S,nong,nong,A=,,,,U1,Unk,,,,,,,776,776,776,Yes
EU28,CON,5310,Laurus nobilis thickets,N,700,S,700,aeq,0.05,,,S,0.05,mt,0MS,FV,0MS,FV,0MS,FV,0MS,FV,MTX,FV,S,U1,S,nong,nc,A=,,,,U1,S,0.05,0.05,0.05,,,,,,,Yes
EU28,MED,5310,Laurus nobilis thickets,N,912,S,912,aeq,156.94,156.44,157.44,S,156.94,aeq,2XA,FV,2XA,FV,2XA,FV,2XA,FV,MTX,FV,S,FV,S,nc,nc,A=,good,good,good,FV,S,141.3,140.8,141.8,,,,,,,Yes
EU28,MED,5430,Endemic phryganas of the Euphorbio-Verbascion,N,32446,S,32446,aeq,390.84,388.76,392.91,D,390.84,aeq,2XA,FV,2XA,U1,2XA,FV,2XA,FV,MTX,U1,S,U1,D,nc,nong,D,good,good,good,U1,S,,,,,,,,,,Yes
EU28,MED,6310,Dehesas with evergreen Quercus spp.,N,282800,Unk,285170,lt,,,,,,,1,XX,2GD,XX,2GD,U1,2GD,U2,MTX,U2,Unk,U2,D,nc,nong,D,,,,U2,,,,,,,,,,,Yes
EU28,ALP,6450,Northern boreal alluvial meadows,N,70900,S,70900,aeq,30,,,D,30,mmt,0MS,FV,0MS,U2,0MS,U2,0MS,U2,MTX,U2,Unk,U2,D,nc,nong,D,good,bad,bad,U2,Unk,15,15,15,15,15,15,,,,Yes
EU28,BOR,6450,Northern boreal alluvial meadows,N,319175,S,319175,mt,528,488,569,D,528,mt,1,U1,2XA,U1,1,U2,2XA,U2,MTX,U2,D,U2,D,nc,nc,C,,,,U2,D,180,180,180,199,186,213,127,94,161,Yes
EU28,BOR,7310,Aapa mires,Y,480800,S,480800,aeq,30400,30400,30400,S,28200,mt,0EQ,FV,1,U1,0EQ,U1,0EQ,U1,MTX,U1,D,U1,D,nc,nc,C,good,poor,poor,U1,D,12433,15506,9360,1294,1548,1040,13346,13346,13346,Yes
EU28,ALP,7310,Aapa mires,Y,96000,S,96000,,5620,5560,5680,I,4230,,0EQ,FV,0EQ,FV,0EQ,FV,0EQ,FV,MTX,FV,S,FV,,nc,nong,A=,good,good,good,FV,S,5620,5560,5680,0,0,0,0,0,0,Yes
EU28,MED,8110,Siliceous scree of the montane to snow levels (Androsacetalia alpinae and Galeopsietalia ladani),N,7300,I,7300,aeq,,,,D,,aeq,1,FV,2GD,U1,2GD,FV,2GD,FV,MTX,U1,S,FV,S,nong,nc,D,good,good,unknown,FV,S,,,,,,,,,,Yes
EU28,CON,8110,Siliceous scree of the montane to snow levels (Androsacetalia alpinae and Galeopsietalia ladani),N,21219,D,21219,aeq,83,78,88,D,83,x,1,U1,2XA,U1,2XA,U1,2XA,U1,MTX,U1,Unk,U1,S,nc,nong,D,,,,U1,S,28,5.24,51,23,0.19,46,72,72,72,Yes
EU28,ATL,8110,Siliceous scree of the montane to snow levels (Androsacetalia alpinae and Galeopsietalia ladani),N,47828,S,47828,aeq,652,,,S,652,aeq,0EQ,FV,0EQ,FV,2XA,XX,0EQ,U1,MTX,U1,I,U1,I,nc,nc,B1,,,,U1,I,123,121,125,21,19,24,508,507,508,Yes
EU28,ALP,8110,Siliceous scree of the montane to snow levels (Androsacetalia alpinae and Galeopsietalia ladani),N,182078,S,182078,aeq,,,,D,6270,aeq,0EQ,FV,2GD,U1,2GD,XX,2GD,FV,MTX,U1,S,FV,S,nong,nc,D,good,good,good,FV,S,3848,3354,4342,199,4.58,393,2223,,,Yes
