featuretype,country,region,featurecode,featurename,measures_needed,measures_status,measures_purpose,measures_location,measures_response,measures_info,use_for_statistics
species,CZ,CON,1166,Triturus cristatus,Yes,taken,maintain,inOut,medTerm,"Measures CA02, CA09, CA11, CB05, CB09 are not applied",Yes
species,CZ,CON,1197,Pelobates fuscus,No,,,,,,Yes
species,CZ,CON,1321,Myotis emarginatus,Yes,taken,maintain,inOut,medTerm,,Yes
species,CZ,CON,1322,Myotis nattereri,Yes,taken,maintain,inOut,medTerm,,Yes
species,CZ,CON,1337,Castor fiber,No,,,,,"In Czechia, the range of beaver is according to the management plan, divided into zones. In zone C may be a threat to the health and life of people and significant economic damage.",Yes
species,CZ,CON,1339,Cricetus cricetus,No,,,,,,Yes
species,CZ,CON,1343,Sicista betulina,No,,,,,,Yes
species,CZ,CON,1357,Martes martes,No,,,,,,Yes
species,CZ,CON,1689,Dracocephalum austriacum,Yes,taken,maintain,in,srtTerm,,Yes
species,CZ,CON,1902,Cypripedium calceolus,Yes,taken,maintain,inOut,srtTerm,,Yes
species,CZ,CON,1903,Liparis loeselii,Yes,taken,increase,in,srtTerm,,Yes
species,CZ,CON,4076,Dianthus moravicus,Yes,taken,maintain,in,srtTerm,,Yes
species,CZ,CON,4095,Stipa zalesskii,Yes,taken,maintain,inOut,srtTerm,Trees and schrubs are regularly removed in some localities.,Yes
species,CZ,PAN,1014,Vertigo angustior,Yes,taken,maintain,inOut,medTerm,,Yes
species,CZ,PAN,1082,Graphoderus bilineatus,Yes,ident,,,lonTerm,,Yes
species,CZ,PAN,1145,Misgurnus fossilis,Yes,ident,,,medTerm,,Yes
species,CZ,PAN,1188,Bombina bombina,Yes,taken,maintain,inOut,medTerm,"Measures CA02,CA09, CA11, CB05 are not applied",Yes
species,CZ,PAN,1209,Rana dalmatina,No,,,,,,Yes
species,CZ,PAN,1331,Nyctalus leisleri,Yes,taken,maintain,inOut,medTerm,,Yes
species,CZ,PAN,1378,Cladonia (Cladina) subsp.,No,,,,,,Yes
species,CZ,PAN,4011,Bolbelasmus unicornis,Yes,taken,restore,in,medTerm,,Yes
species,CZ,PAN,4026,Rhysodes sulcatus,Yes,taken,maintain,in,medTerm,,Yes
species,DE,ALP,1256,Podarcis muralis,No,,,,,,Yes
species,DE,ALP,1308,Barbastella barbastellus,Yes,ident,,,,,Yes
species,DE,ALP,1375,Capra ibex,No,,,,,,Yes
species,DE,ALP,1400,Leucobryum glaucum,No,,,,,,Yes
species,DE,ALP,1902,Cypripedium calceolus,No,,,,,,Yes
species,DE,ALP,1927,Stephanopachys substriatus,Yes,ident,,,,,Yes
species,DE,ATL,1042,Leucorrhinia pectoralis,Yes,taken,maintain,inOut,srtTerm,,Yes
species,DE,ATL,1101,Acipenser sturio,Yes,taken,maintain,inOut,lonTerm,,Yes
species,DE,ATL,1145,Misgurnus fossilis,Yes,taken,maintain,inOut,srtTerm,,Yes
species,DE,ATL,1197,Pelobates fuscus,No,,,,,,Yes
species,DE,ATL,1261,Lacerta agilis,No,,,,,,Yes
species,DE,ATL,1437,Thesium ebracteatum,Yes,taken,increase,in,medTerm,,Yes
species,DE,ATL,6182,Sympecma paedisca,No,,,,,,Yes
species,DE,CON,1056,Parnassius mnemosyne,No,,,,,,Yes
species,DE,CON,1102,Alosa alosa,Yes,taken,increase,inOut,lonTerm,,Yes
species,DE,CON,1292,Natrix tessellata,No,,,,,,Yes
species,DE,CON,1318,Myotis dasycneme,Yes,notIdent,,,,,Yes
species,DE,CON,1866,Galanthus nivalis,No,,,,,,Yes
species,DE,CON,2492,Coregonus albula,No,,,,,,Yes
species,DE,CON,6147,Telestes souffia,Yes,taken,maintain,inOut,lonTerm,,Yes
species,DK,ATL,1095,Petromyzon marinus,Yes,taken,maintain,in,medTerm,,Yes
species,DK,ATL,1355,Lutra lutra,Yes,taken,maintain,inOut,medTerm,,Yes
species,DK,ATL,1413,Lycopodium spp.,No,,,,,,Yes
species,DK,CON,1091,Astacus astacus,No,,,,,,Yes
species,DK,CON,1103,Alosa fallax,No,,,,,,No
species,DK,CON,1261,Lacerta agilis,No,,,,,,Yes
species,DK,CON,1313,Eptesicus nilssonii,No,,,,,,Yes
species,DK,CON,1614,Apium repens,No,,,,,,Yes
species,DK,CON,5009,Pipistrellus pygmaeus,No,,,,,,Yes
species,EE,BOR,1048,Aeshna viridis,No,,,,,,Yes
species,EE,BOR,1067,Lopinga achine,No,,,,,,Yes
species,EE,BOR,1910,Pteromys volans,Yes,taken,maintain,inOut,srtTerm,https://www.envir.ee/sites/default/files/lendorava_ktk_eelnou_kodukale.pdf,Yes
species,EE,BOR,1920,Boros schneideri,Yes,taken,maintain,in,srtTerm,,Yes
species,EE,MBAL,6307,Pusa hispida botnica,No,,,,,,Yes
species,ES,ALP,1191,Alytes obstetricans,Yes,taken,restore,in,medTerm,"El proyecto LIFE LimnoPirineus - Restauración de hábitats leníticos y especies acuáticas de interés comunitario de alta montaña en los Pirineos [LIFE13 NAT/ES/001210] restaurará el funcionamiento ecológico de 19 lagos de alta montaña a través de la erradicación – o la reducción significativa - de especies de peces exóticas invasoras. Establecerá nuevas poblaciones de especies de anfibios objetivo - Rana temporaria, Alytes obstetricans y Euproctus asper - en los lagos en los que los peces alóctonos hayan sido retirados. Las áreas seleccionadas por el proyecto se encuentran dentro de espacios Red Natura 2000 como LIC Aigüestortes [ES0000022], LIC Alt Pallars [ES5130003] y LIC Estanho de Vielha [ES513006].",Yes
species,ES,ALP,1283,Coronella austriaca,Yes,ident,,,,,Yes
species,ES,ALP,1301,Galemys pyrenaicus,Yes,ident,,,,,Yes
species,ES,ALP,5318,Cottus aturi,Yes,taken,restore,inOut,medTerm,"Actualmente se está llevando a cabo el proyecto LIFE IREKIBAI - Ri?os abiertos: Mejorando la conectividad y los ha?bitats en los ri?os compartidos por Navarra y Gipuzkoa [LIFE14 NAT/ES/000186], que ha realizado acciones que benefician directamente a las especies como la Burtaina (https://www.irekibai.eu/burtaina/). Una de las acciones incluidas dentro de este proyecto y que se han llevado a cabo es la designación de la especie como elemento clave para las ZEC Río Bidasoa [ES2200014], ZEC Señorío de Bértiz [ES22000017] y ZEC Río Baztán y Regata Artesiaga [ES2200023].",Yes
species,ES,ALP,5365,Hypsugo savii,Yes,ident,,,,,Yes
species,ES,ATL,1065,Euphydryas aurinia,Yes,ident,,,,,Yes
species,ES,ATL,1087,Rosalia alpina,Yes,taken,expand,in,medTerm,"El proyecto LIFE Biodiversidad y Trasmochos [LIFE08 NAT/E/000075] se desarrolló en País Vasco con el objetivo de mejorar y estudiar el hábitat forestal para especies de escarabajos saproxílicos entre los que se encuentra Rosalia alpina, entre 2010 y 2014 (http://www.lifetrasmochos.net/images/Trasmochos/Documentos/layman_cast.pdf).",Yes
species,ES,ATL,1102,Alosa alosa,Yes,taken,restore,inOut,srtTerm,"En Galicia se está realizando el proyecto Migra-Minho, llevando a cabo acciones dirigidas a mejorar la calidad del hábitat y la conectividad del río Miño para especies migradoras anádromas como la saboga (http://migraminho.org/). Estas medidas han sido realizadas en zonas protegidas como ZEC Baixo Miño [ES1140007] y ZEC Río Tea [ES1140006].
En Navarra, actualmente se está llevando a cabo el proyecto LIFE IREKIBAI - Ri?os abiertos: Mejorando la conectividad y los ha?bitats en los ri?os compartidos por Navarra y Gipuzkoa [LIFE14 NAT/ES/000186], que ha realizado acciones que benefician directamente a las especies migradoras como el sábalo (https://www.irekibai.eu/sabalo/).



En la Comunidad de Navarra se han eliminado presas en el cauce (3 de las cinco existentes en el rango, y las otras dos están permeabilizadas) no obstante restan por aplicar otras medidas aún no identificadas para la conservaciónde la especie.
-Gestión de la especie objetivo: Medidas de manejo específicas para una especie o un grupo de especies.",Yes
species,ES,ATL,1657,Gentiana lutea,Yes,ident,,,,,Yes
species,ES,ATL,5283,Luciobarbus graellsii,Yes,ident,,,,,Yes
species,ES,ATL,6091,Zamenis longissimus,Yes,ident,,,,"En Edgar et al. (2007) se mencionan otras cuestiones como incrementar el conocimiento de la especie, proteger zonas importantes, incluirla en los catálogos de protección, etc.

Edgar, P., Bird, D. R. (2007). Action Plan for the Conservation of the Aesculapian Snake (Zamenis longissimus) in Europe. The Herpetological Conservation Trust, Bournemouth. 23 pp. (https://rm.coe.int/16807464d6) [Acceso 04/04/19]",Yes
species,ES,MMED,1349,Tursiops truncatus,Yes,taken,maintain,inOut,lonTerm,"Medidas planteadas en el Plan de Conservación del Delfín Mular (Tursiops truncatus) en aguas del Archipiélago Balear, en la Propuesta de Plan de Conservación para el Delfín Mular (Tursiops truncatus) en Andalucía y Murcia o en el Plan de Conservación de los cetáceos del Archipiélago canario.",Yes
species,FI,BOR,1032,Unio crassus,Yes,taken,maintain,inOut,medTerm,,Yes
species,FI,BOR,1086,Cucujus cinnaberinus,Yes,taken,maintain,in,medTerm,,Yes
species,FI,BOR,1320,Myotis brandtii,No,,,,,,Yes
species,FI,BOR,1386,Buxbaumia viridis,Yes,taken,maintain,inOut,srtTerm,,Yes
species,FI,BOR,1413,Lycopodium spp.,No,,,,,,Yes
species,FI,BOR,1903,Liparis loeselii,Yes,taken,expand,inOut,medTerm,,Yes
species,FI,BOR,1926,Stephanopachys linearis,Yes,taken,maintain,inOut,srtTerm,,Yes
species,FI,BOR,1951,Cinna latifolia,Yes,taken,maintain,inOut,srtTerm,,Yes
species,FI,BOR,1966,Persicaria foliosa,Yes,taken,maintain,inOut,medTerm,,Yes
species,FI,BOR,1972,Ranunculus lapponicus,Yes,taken,maintain,inOut,medTerm,,Yes
species,FI,BOR,1980,Cephalozia macounii,Yes,ident,,,lonTerm,,Yes
species,FI,BOR,1981,Cynodontium suecicum,Yes,taken,maintain,inOut,srtTerm,,Yes
species,FI,BOR,4021,Phryganophilus ruficollis,Yes,taken,maintain,inOut,medTerm,,Yes
species,FI,BOR,4066,Asplenium adulterinum,Yes,taken,maintain,inOut,srtTerm,,Yes
species,FR,ALP,1109,Thymallus thymallus,No,,,,,,Yes
species,FR,ALP,1191,Alytes obstetricans,No,,,,,,Yes
species,FR,ALP,1209,Rana dalmatina,No,,,,,,Yes
species,FR,ALP,1331,Nyctalus leisleri,No,,,,,,Yes
species,FR,ALP,1378,Cladonia (Cladina) subsp.,No,,,,,,Yes
species,FR,ALP,1480,Aquilegia alpina,No,,,,,,Yes
species,FR,ALP,1631,Androsace cylindrica,No,,,,,,Yes
species,FR,ALP,1632,Androsace pyrenaica,No,,,,,Mesure mise par nécessité d'avoir une mesure dans cette rubrique,Yes
species,FR,ALP,1762,Arnica montana,No,,,,,,Yes
species,FR,ALP,5317,Cottus hispaniolensis,Yes,ident,maintain,inOut,medTerm,Faire des analyses génétiques sur les populations pour détecter d'autres menaces,Yes
species,FR,ALP,5318,Cottus aturi,Yes,ident,maintain,inOut,medTerm,,Yes
species,FR,ATL,1016,Vertigo moulinsiana,Yes,ident,maintain,inOut,medTerm,"L'évaluation des impacts des pratiques de gestion des espaces naturels en site Natura 2000 est inexistante sur l'espèce. Les mesure de gestion sont mises en oeuvre de manière totalement empirique, sans évaluation.",Yes
species,FR,ATL,1082,Graphoderus bilineatus,No,,,,,,Yes
species,FR,ATL,1092,Austropotamobius pallipes,Yes,ident,maintain,inOut,lonTerm,,Yes
species,FR,ATL,1205,Hyla meridionalis,No,,,,,,Yes
species,FR,ATL,1304,Rhinolophus ferrumequinum,Yes,taken,maintain,inOut,medTerm,,Yes
species,FR,ATL,1308,Barbastella barbastellus,Yes,taken,restore,inOut,medTerm,"Répondre ""mesures non mises en oeuvre"" est délicat et en partie faux Des mesures sont mises en oeuvre mais pas partout (y compris en sites Natura 2000) car cela concerne des pratiques et parcours techniques, les plus difficiles à faire évoluer, et surtout ceux qui donnent les résultats les plus sur le long terme.",Yes
species,FR,ATL,1358,Mustela putorius,No,,,,,,Yes
species,FR,ATL,1385,Bruchia vogesiaca,Yes,notIdent,maintain,inOut,medTerm,,Yes
