country,sitecode,sitename,project_title,commission_informed_year,project_year,commission_opinion,project_impact
DE,DE3437302,Elbaue zwischen Derben und Schönhausen,Sanierung und Austrassierung des rechten Elbdeiches bei Fischbeck,2019,2014,No,
DE,DE3437302,Elbaue zwischen Derben und Schönhausen,Sanierung und Austrassierung des rechten Elbdeiches bei Schönhausen,2018,2016,No,
DE,DE3535301,Colbitz-Letzlinger Heide,"Neubau der Bundesautobahn A 14 Magdeburg – Wittenberge - Schwerin, VKE 1.3 AS Colbitz (o) – AS Tangerhütte (m)",2019,2017,No,
DE,DE3736301,Elbaue südlich Rogätz mit Ohremündung,"HWSB am rechten Elbdeich Schartau (Deich-km 7,4-9)",2018,2015,No,
DE,DE3736301,Elbaue südlich Rogätz mit Ohremündung,"HWSB am rechten Elbdeich Schartau (Deich-km 10,18-11,5)",2019,2013,No,
DE,DE3736301,Elbaue südlich Rogätz mit Ohremündung,"HWSB am rechten Elbdeich Blumenthal (Deich-km 15,35-16)",2018,2015,No,
DE,DE3736301,Elbaue südlich Rogätz mit Ohremündung,"HWSB am rechten Elbdeich Parchau (Deich-km 16-17,5)",2018,2015,No,
DE,DE3736301,Elbaue südlich Rogätz mit Ohremündung,"HWSB am rechten Elbdeich Parey (Deich-km 24,7-25,35)",2019,2015,No,
DE,DE3736301,Elbaue südlich Rogätz mit Ohremündung,"HWSB am rechten Elbdeich Zerben (Deich-km 22,3-24,7)",2019,2017,No,
DE,DE3736301,Elbaue südlich Rogätz mit Ohremündung,"HWSB Niegripp (Deich-km 2,14-3,7)",2018,2016,No,
DE,DE3736301,Elbaue südlich Rogätz mit Ohremündung,"HWSB am rechten Elbdeich Parey (Deich-km 27,63-28,73)",2018,2015,No,
DE,DE3736301,Elbaue südlich Rogätz mit Ohremündung,"HWSB am rechten Elbdeich Ihleburg (Deich-km 18,3-19,33",2018,2015,No,
DE,DE3736301,Elbaue südlich Rogätz mit Ohremündung,"HWSB am rechten Elbdeich Parey (Deich-km 25,3-27,6)",2019,2017,No,
DE,DE4037302,Elbaue Steckby-Lödderitz,Sanierung rechter Saaledeich von Schöpfwerk Breitenhagen bis Groß Rosenburg (Deich-km 0+400 bis 4+000),2019,2012,No,
DE,DE4235301,Wipper unterhalb Wippra,Neubau Eisenbahnüberquerung über die Wipper",2017,2019,Yes,
DE,DE4244301,Alte Elster und Rohrbornwiesen bei Premsendorf,Rekonstruktion des Deichabschnittes bei Premsendorf an der Schwarzen Elster,2016,2016,No,
DE,DE4340301,Muldeaue oberhalb Pouch,Errichtung eines steuerbaren Flutpolders Rösa,2018,2012,No,
FR,FR2200346,ZSC Estuaires et littoral picards (baies de Somme et d'Authie),Épis de Cayeux,2013,2013,No,
DE,DE4437302,Porphyrkuppenlandschaft nordwestlich Halle,"Neubau der Bundesautobahn A 143 Westumfahrung Halle, VKE 4224",2011,2019,Yes,"Die Kommission wurde bereits im Jahr 2011 informiert mit der Bitte um Stellungnahme. Im Zuge des Verfahrens hat sich durch Planoptimierungen herausgestellt, dass keine Stellungnahme der Kom-mission mehr erforderlich ist. Der zugehörige Bericht an die Kommission bleibt noch abzuwarten."
ES,ES2430127,Sima del Árbol,"Presa de Mularroya, azud de derivación y conducción de trasvase. Términos Municipales: La Almunia de Doña Godina, Chodes y Ricla  (Zaragoza) y actuaciones complementarias",2015,2015,No,"Impactos sobre poblaciones de quirópteros, pérdida de área de campeo, posibles molestias. Medidas de protección de refugios y de establecimiento de hábitats de alimentación de las especies objetivo de estos espacios."
ES,ES2430143,Cueva del Mármol,"Presa de Mularroya, azud de derivación y conducción de trasvase. Términos Municipales: La Almunia de Doña Godina, Chodes y Ricla  (Zaragoza) y actuaciones complementarias",2015,2015,No,"Impactos sobre poblaciones de quirópteros, pérdida de área de campeo, posibles molestias. Medidas de protección de refugios y de establecimiento de hábitats de alimentación de las especies objetivo de estos espacios."
ES,ES2430144,Cueva del Sudor,"Presa de Mularroya, azud de derivación y conducción de trasvase. Términos Municipales: La Almunia de Doña Godina, Chodes y Ricla  (Zaragoza) y actuaciones complementarias",2015,2015,No,"Impactos sobre poblaciones de quirópteros, pérdida de área de campeo, posibles molestias. Medidas de protección de refugios y de establecimiento de hábitats de alimentación de las especies objetivo de estos espacios."
ES,ES2430151,Cueva del Muerto,"Presa de Mularroya, azud de derivación y conducción de trasvase. Términos Municipales: La Almunia de Doña Godina, Chodes y Ricla  (Zaragoza) y actuaciones complementarias",2015,2015,No,"Impactos sobre poblaciones de quirópteros, pérdida de área de campeo, posibles molestias. Medidas de protección de refugios y de establecimiento de hábitats de alimentación de las especies objetivo de estos espacios."
ES,ES0000299,Desfiladeros del Río Jalón,"Presa de Mularroya, azud de derivación y conducción de trasvase. Términos Municipales: La Almunia de Doña Godina, Chodes y Ricla  (Zaragoza) y actuaciones complementarias",2015,2015,No,Impactos sobre hábitat y población de Hieraaetus fasciatus. Medidas de protección de tendidos para reducir mortalidad en el área de campeo de las parejas residentes y en la de dispersion de juveniles.
UK,UK0013690,Essex Estuaries SAC,Essex and South Suffolk Shoreline Management Plan (SMP 8),2013,2012,No,
UK,UK0030170,Humber Estuary SAC,Humber Estuary Flood Risk Management Strategy,2014,2008,No,
UK,UK0017073,Solent and Isle of Wight Lagoons SAC,Portchester Castle to Emsworth Flood Risk Management Strategy,2014,2013,No,
IT,IT5170002,ZSC “Selva Pisana”,Progetto esecutivo delle misure di compensazione del progetto di costruzione di una nuova linea ferroviaria e dell’adeguamento del Tombolo dock.,2018,2018,No,
IT,IT2040006,SIC “La Vallaccia - Pizzo Filone”,Progetto di costruzione di una seggiovia esaposto ad ammorsamento automatico denominata “Vallaccia – Monte della neve”,2015,2015,No,
IT,IT8020009,SIC “Pendici meridionali del Monte Mutria”,Procedura ministeriale di VIA ID_VIP:795 - Progetto di Impianto Idroelettrico di Regolazione nel Comune di Campolattaro (BN).,2015,2015,No,
IT,IT8020015,ZPS “Invaso del Fiume Tammaro”,Procedura ministeriale di VIA ID_VIP:795 - Progetto di Impianto Idroelettrico di Regolazione nel Comune di Campolattaro (BN).,2015,2015,No,
IT,IT3270017,SIC “Delta del Po: tratto terminale e delta Veneto”,Lavori urgenti per l’assetto funzionale della tratta terminale destra del fiume Adige tra le progressive km 406-409 in comune di Rosolina (RO). Perizia di variante e suppletiva n. 599 in data 10.08.2010.,2014,2014,No,
IT,IT3270023,ZPS “Delta del Po”,Lavori urgenti per l’assetto funzionale della tratta terminale destra del fiume Adige tra le progressive km 406-409 in comune di Rosolina (RO). Perizia di variante e suppletiva n. 599 in data 10.08.2010.,2014,2014,No,
IT,IT3230080,SIC “Val Talagona - Gruppo Monte Cridola - Monte Duranno”,"Realizzazione dell’impianto idroelettrico “Vallesella” sul torrente Talagona, in comune di Domegge di Cadore (BL)”, proposto dalla Società Idro Vacchelli S.r.l., Padova – rif. progetto numero 30/2008.",2014,2014,No,
IT,IT3230089,ZPS “Dolomiti del Cadore e Comelico”,"Realizzazione dell’impianto idroelettrico “Vallesella” sul torrente Talagona, in comune di Domegge di Cadore (BL)”, proposto dalla Società Idro Vacchelli S.r.l., Padova – rif. progetto numero 30/2008.",2014,2014,No,
IT,IT3250031,SIC “Laguna superiore di Venezia”,"Parco Urbano Isola della Certosa, in Comune di Venezia",2013,2013,No,
IT,IT3250046,ZPS “Laguna di Venezia”,"Parco Urbano Isola della Certosa, in Comune di Venezia",2013,2013,No,
IT,IT3230043,"SIC/ZPS “Pale di San Martino, Focobon, Pape San Lucano, Agner Croda Granda”",Impianto idroelettrico sul torrente Biois – misure di compensazione nei Comuni di Falcade e Canale d’Agordo,2013,2013,No,
LU,LU0001007,Vallée supérieure de la Sûre/Lac du barrage,"Nouvelle station de traitement du SEBES avec conduits de refoulement, station de refoulement et conduit d’adduction (New SEBES treatment plant with discharge lines, pumping station, and supply main)",2018,2017,No,"Permanent loss of 494 m² of lowland hay meadows (6510)
Deforestation of 0,57 ha of Luzulo-Fagetum (9110), of which only 0,24 ha is permanent"
LU,LU0001010,Grosbous-Neibruch,"Nouvelle station de traitement du SEBES avec conduits de refoulement, station de refoulement et conduit d’adduction (New SEBES treatment plant with discharge lines, pumping station, and supply main)",2018,2017,No,"Permanent loss of 494 m² of lowland hay meadows (6510)
Deforestation of 0,57 ha of Luzulo-Fagetum (9110), of which only 0,24 ha is permanent"
LU,LU0001022,Grünewald,Centre de Remisage et de Maintenance du Tram (Tram Maintenance Depot),2018,2013,No,"Permanent loss of 2,5 ha of Asperulo-Fagetum (9130), of which 4.580 m² are also considered as loss of essential habitat for Myotis myotis. The permanent loss of 2,5 ha of 9130 are also considered as loss of unessential hunting habitat of Myotis beschsteinii."
NL,NL9802033,Veluwerandmeren,Ijsseldelta-Zuid (Reevediep),2015,2015,No,
NL,NL2014067,Rijntakken,"Stroomlijn IJssel, Katerstede, Slichtenbreesweerd en Buitenwaarden Wijhe",2019,2016,No,
NL,NL2014067,Rijntakken,Overnachtingshaven Lobith,2016,2019,No,
NL,NL1000016,Solleveld & Kapittelduinen,A24 Blankenburgverbinding,2019,2018,No,
NL,NL9803077,Voornes Duin,A24 Blankenburgverbinding,2019,2018,No,
NL,NL9801079,Duine Goerree & Kwade Hoek,A24 Blankenburgverbinding,2019,2018,No,
FR,FR8201662,"ZSC des Massifs de Crussol, Soyons et Cornas",Carrière de Chateaubourg - mise en sécurité de la route des Royes,2016,2015,No,
FR,FR9101481,ZSC des Côtes rocheuses des Albères,Réaménagement D914 (66),2018,2018,No,
FR,FR9101483,ZSC du Massif des Albères,Réaménagement D914 (66),2018,2018,No,
FR,FR3100474,ZSC Dunes de la plaine maritime flamande,Aménagement de la véloroute du littoral,2018,2018,No,
UK,UK0030059,Solent Maritime SAC,Portchester Castle to Emsworth Flood Risk Management Strategy,2014,2013,No,
UK,UK0013116,Pembrokeshire Marine/Sir Benfro Forol SAC,"New lifeboat station at St. Justinian’s, Pembrokeshire",2014,2014,No,
UK,UK0014784,Usk Bat Sites/ Safleoedd Ystlumod Wysg SAC,CA465 Heads of Valley road upgrade,2014,2015,No,
UK,UK0030170,Humber Estuary SAC,Able Marine Energy Park,2015,,No,
UK,UK0020020,Carmarthen Bay and Estuaries European Marine Site Comprising Carmarthen Bay and Estuaries/ Bae Caerfyrddin ac Aberoedd SAC,Penclawdd Flood Risk Management Strategy,2015,2015,No,
UK,UK0030057,River Ehen SAC,EA phased reduction of an abstraction license - River Ehen,2016,2016,No,
UK,UK0030131,Dee Estuary/ Aber Dyfrdwy SAC,North West England and North Wales Shoreline Management Plan,2016,2014,No,
UK,UK0013027,Morecambe Bay SAC,North West England and North Wales Shoreline Management Plan,2016,,No,
UK,UK0013025,Solway Firth SAC,North West England and North Wales Shoreline Management Plan,2016,,No,
UK,UK0013030,Severn Estuary SAC,Severn Estuary and North Devon and Somerset Shoreline Management Plan,2016,2016,No,
UK,UK0020025,Glannau Môn: Cors heli / Anglesey Coast: Saltmarsh SAC,West of Wales Shoreline Management Plan,,2014,No,
UK,UK0013117,Pen Llyn a`r Sarnau/ Lleyn Peninsula and the Sarnau SAC,West of Wales Shoreline Management Plan,,2014,No,
UK,UK0030202,Y Fenai a Bae Conwy/ Menai Strait and Conwy Bay SAC,West of Wales Shoreline Management Plan,,2014,No,
UK,UK0013116,Pembrokeshire Marine / Sir Benfro Forol SAC,West of Wales Shoreline Management Plan,,2014,No,
UK,UK0013116,Pembrokeshire Marine /Sir Benfro Morol SAC,Lavernock Point to St Ann’s Head Shoreline Management Plan,,2014,No,
UK,UK0020020,Carmarthen Bay & Estuaries / Bae Caerfyrddin ac Aberoedd SAC,Lavernock Point to St Ann’s Head Shoreline Management Plan,,2014,No,
UK,UK0013116,Pembrokeshire Marine / Sir Benfro Morol SAC,Little Haven Flood Alleviation Scheme,,2017,No,
DK,DK00CX160,Nissum Fjord,Høvsøre,2018,2017,No,The project required compensatory measures by designating a replacement area.
DK,DK008B388,Odense Fjord,Miljøgodkendelse til Fjernvarme Fyn til udledning af kølevand fra Fynsværket blok 7.,2018,2018,No,It is considered that the impact is below the trivial limit and there is no need for compensatory measures.
HU,HUDD20023,Tolnai-Duna,Új atomerőművi blokkok létesítése a Paksi telephelyen (Paks II.),2019,2016,No,"A Duna partján építendő létesítmények egy 200 m hosszúságú, 0,8 ha nagyságú Natura 2000 státuszú Duna- partszakaszt érintenek, amely a HUDD20023 kódszámú, 7161,69 ha kitejedésű terület 0,01%-a.A Natura 2000 területen azonosított jelölő élőhelytípus a 91E0 * Enyves éger (Alnus glutinosa) és magas kőris (Fraxinus excelsior) alkotta ligeterdők (Alno-Padion, Alnion incanae, Salicion albae). A kompenzációs intézkedések a kompenzálásra kerülő területhez viszonyítva egy hozzávetőleg négyszer akkora területen (Paks 0111/1 hrsz., erdőrészlet kódja: 19/VI2) kerülnek elvégzésre az illetékes hatóság határozata alapján."
HU,HUDI20034,Duna és ártere,Esztergom város árvízvédelmi fejlesztése,2019,2017,No,"HUDI20034 kódszámú Natura 2000 területen (nevezetesen a Prímás szigeten) jelentkező 12,25 hektárnyi 91E0 típusú élőhelyveszteség a Nyáros sziget 15,4 hektárnyi területén kerül kompenzálásra az illetékes hatóság határozata alapján"
