code,label
F30,Construction or development of reservoirs and dams for industrial or commercial development
F31,Other modification of hydrological conditions for residential or recreational development
F32,Other modification of hydrological conditions for industrial or commercial development
F33,Abstraction of ground and surface waters (including marine) for public water supply and recreational use
F34,Abstraction of ground and surface waters (including marine) for commercial/industrial use (excluding energy)
G,Extraction and cultivation of biological living resources (other than agriculture and forestry)
G01,"Marine fish and shellfish harvesting (professional, recreational) causing reduction of species/prey populations and disturbance of species"
G02,Marine fish and shellfish processing
G03,"Marine fish and shellfish harvesting (professional, recreational) activities causing physical loss and disturbance of seafloor habitats"
G04,Marine plant harvesting
G05,Freshwater fish and shellfish harvesting (professional)
G06,Freshwater fish and shellfish harvesting (recreational)
G07,Hunting
G08,Management of fishing stocks and game
G09,Harvesting or collecting of other wild plants and animals (excluding hunting and leisure fishing)
G10,Illegal shooting/killing
G11,"Illegal harvesting, collecting and taking"
G12,Bycatch and incidental killing (due to fishing and hunting activities)
G13,Poisoning of animals (excluding lead poisoning)
G14,Use of lead ammunition or fishing weights
G15,Modification of coastal conditions for marine aquaculture
G16,Marine aquaculture generating marine pollution
G17,Introduction and spread of species (including GMOs) in marine aquaculture
G18,Abandonment of marine aquaculture
G19,"Other impacts from marine aquaculture, including infrastructure"
G20,"Abstraction of water, flow diversion, dams and other modifications of hydrological conditions for freshwater aquaculture"
G21,Freshwater aquaculture generating point source pollution to surface or ground waters
G22,Freshwater aquaculture generating diffuse source pollution to surface or ground waters
G23,Freshwater aquaculture generating marine pollution
G24,Introduction and spread of species (including alien species and GMOs) in freshwater aquaculture
G25,Abandonment of freshwater aquaculture
G26,"Other impacts from freshwater aquaculture, including infrastructure"
G27,Other activities related to extraction and cultivation of biological living resources not referred to above
H,"Military action, public safety measures, and other human intrusions"
H01,"Military, paramilitary or police exercises and operations on land"
H02,"Military, paramilitary or police exercises and operations in the freshwater and marine environment"
H03,Abandonment of terrestrial military or similar exercises (loss of open habitats)
H04,Vandalism or arson
H05,"Tree surgery, felling/removal of roadside trees and vegetation for public safety"
H06,Closure or restricted access to site/habitat
H07,Intrusive and destructive research and monitoring activities
H08,Other human intrusions and disturbance not mentioned above
I,Alien and problematic species
I01,Invasive alien species of Union concern
I02,Other invasive alien species (other than species of Union concern)
I03,DO NOT USE Other alien species (not invasive)
I04,Problematic native species
I05,"Plant and animal diseases, pathogens and pests"
J,Mixed source pollution
J01,Mixed source pollution to surface and ground waters (limnic and terrestrial)
J02,Mixed source marine water pollution (marine and coastal)
J03,"Mixed source air pollution, air-borne pollutants"
J04,Mixed source soil pollution and solid waste (excluding discharges)
J05,Mixed source excess energy
K,Human-induced changes in water regimes
K01,"Abstraction from groundwater, surface water or mixed water"
K02,Drainage
K03,Development and operation of dams
K04,Modification of hydrological flow
K05,Physical alteration of water bodies
L,Natural processes (excluding catastrophes and processes induced by human activity or climate change)
L01,"Abiotic natural processes (e.g. erosion, silting up, drying out, submersion, salinization)"
L02,Natural succession resulting in species composition change (other than by direct changes of agricultural or forestry practices)
L03,Accumulation of organic material
L04,Natural processes of eutrophication or acidification
L05,Reduced fecundity / genetic depression (e.g. inbreeding or endogamy)
L06,"Interspecific relations (competition, predation, parasitism, pathogens)"
L07,Absence or reduction of interspecific faunal and floral relations (e.g. pollinators)
M,"Geological events, natural catastrophes"
M01,Volcanic activity
M02,"Tidal waves, tsunamis"
M03,Earthquake
M04,Avalanche (snow)
M05,"Collapse of terrain, landslide"
M06,Underground collapses (natural processes)
M07,"Storm, cyclone"
M08,Flooding (natural processes)
M09,Fire (natural)
M10,Other natural catastrophes
N,Climate change
N01,Temperature changes (e.g. rise of temperature & extremes) due to climate change
N02,Droughts and decreases in precipitation due to climate change
N03,Increases or changes in precipitation due to climate change
N04,Sea-level and wave exposure changes due to climate change
N05,"Change of habitat location, size, and / or quality due to climate change"
N06,Desynchronisation of biological / ecological processes due to climate change
N07,"Decline or extinction of related species (e.g. food source / prey, predator / parasite, symbiote, etc.) due to climate change"
N08,Change of species distribution (natural newcomers) due to climate change
N09,Other climate related changes in abiotic conditions
X,"Unknown pressures, no pressures and pressures from outside the Member State"
Xe,Threats and pressures from outside the EU territory
Xo,Threats and pressures from outside the Member State
Xp,No information on pressures
Xt,No information on threats
Xu,Unknown pressure
Xxp,No pressures
Xxt,No threats
